"TRIP_ID","area_1","area_2","area_3","area_4","area_5","area_6","area_7","area_8","area_9","area_10","area_11","area_12","area_13","area_14","area_15"
871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13320,NA,13320
872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10080,NA,10080
873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13680,NA,13680
875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20880,NA,20880
879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24480,NA,24480
881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74760,NA,74760
895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43980,NA,45420
896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080,NA,2640
899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23820,NA,23820
902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17760,NA,17760
903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16380,NA,16380
907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17040,NA,17040
908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27660,NA,27660
909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,13500
914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13140,NA,13140
916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17640,NA,19980
918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10320,12240
919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1680
920,NA,NA,58560,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,8220,203340
921,NA,NA,NA,NA,7560,NA,NA,NA,49260,NA,27540,NA,NA,NA,238560
922,NA,NA,NA,NA,327300,NA,NA,NA,NA,NA,NA,NA,NA,NA,327300
923,NA,NA,NA,NA,84480,NA,NA,NA,NA,NA,NA,NA,NA,NA,84480
924,NA,NA,NA,NA,1624680,NA,NA,NA,NA,NA,NA,NA,NA,NA,1624680
925,NA,NA,NA,NA,97200,NA,NA,NA,NA,NA,NA,NA,NA,NA,97200
927,NA,84600,120,NA,135240,NA,NA,NA,26400,NA,NA,NA,23580,NA,454980
928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8040,NA,194160
931,NA,NA,NA,NA,26160,NA,NA,29400,NA,NA,NA,NA,4260,NA,237300
932,NA,NA,NA,NA,397020,NA,NA,NA,NA,NA,NA,NA,NA,NA,397020
933,NA,NA,NA,NA,614160,NA,NA,NA,NA,NA,NA,NA,NA,NA,964380
934,NA,NA,NA,NA,117420,NA,NA,NA,NA,NA,54240,NA,NA,NA,230880
935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3540
936,NA,NA,NA,NA,NA,NA,NA,196560,NA,NA,NA,NA,NA,NA,447360
937,NA,NA,24660,NA,NA,NA,NA,310080,NA,NA,NA,NA,NA,NA,1264200
938,NA,NA,NA,NA,24900,NA,NA,52380,NA,NA,NA,NA,NA,NA,227220
939,NA,NA,NA,NA,NA,NA,NA,42000,NA,NA,NA,NA,NA,NA,166560
940,NA,NA,12360,NA,NA,NA,NA,19380,NA,NA,NA,NA,NA,NA,369240
941,NA,NA,NA,NA,NA,NA,NA,158760,NA,NA,NA,NA,NA,NA,1205280
942,NA,NA,17700,19380,NA,NA,NA,75240,NA,NA,NA,NA,NA,NA,414540
943,NA,NA,NA,1200,22260,NA,NA,14400,NA,NA,NA,NA,NA,NA,310620
944,NA,NA,220080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356580
945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168000
946,NA,NA,NA,NA,4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,418080
947,NA,NA,NA,NA,1080,NA,NA,NA,NA,96360,NA,628560,NA,NA,1179120
948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1264020,NA,NA,1264020
949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33900,NA,NA,33900
950,NA,NA,NA,NA,9360,NA,NA,NA,NA,NA,NA,119100,NA,NA,131160
951,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,798060
952,NA,NA,NA,NA,161520,NA,NA,NA,NA,NA,NA,NA,NA,NA,162240
953,NA,NA,NA,NA,78360,NA,NA,NA,NA,NA,NA,NA,NA,NA,323880
954,120,39960,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402420
955,NA,75060,NA,NA,NA,NA,NA,35400,26580,NA,NA,NA,50940,NA,280920
956,NA,NA,NA,NA,NA,NA,470400,NA,NA,4380,168720,NA,NA,NA,1034880
957,NA,120420,NA,NA,NA,NA,NA,NA,NA,NA,15780,NA,NA,NA,310320
958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12900
959,NA,NA,NA,NA,1347060,NA,NA,NA,NA,NA,NA,NA,NA,NA,1351980
960,NA,26820,170040,NA,118800,NA,NA,NA,NA,NA,NA,NA,NA,NA,321780
962,NA,12960,78120,NA,NA,NA,NA,14040,NA,NA,NA,NA,NA,NA,252540
963,NA,NA,28140,NA,NA,NA,NA,NA,NA,NA,48060,NA,NA,NA,136500
964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99000
965,NA,NA,53580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177900
966,NA,NA,121380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126000
967,NA,NA,55320,NA,NA,NA,NA,NA,NA,NA,23460,NA,NA,NA,232260
968,NA,NA,NA,NA,NA,NA,NA,12360,NA,NA,NA,NA,NA,NA,168360
969,NA,NA,21600,NA,NA,NA,NA,135120,NA,NA,NA,NA,NA,NA,390720
970,NA,NA,21660,NA,NA,NA,NA,711960,NA,NA,NA,NA,NA,NA,1539180
971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98580
972,NA,NA,NA,NA,360,NA,NA,18720,NA,NA,NA,NA,NA,NA,332100
974,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,5100,NA,51720
975,NA,NA,NA,NA,NA,NA,NA,NA,NA,80340,NA,NA,294060,NA,719220
976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1817700,NA,1817700
977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99720,NA,99720
978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648240,NA,648240
979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649140,NA,649140
980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359580,NA,362700
