TRIP_ID,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,MMSI,VESSEL_TYPE
911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11880,NA,11880,227108720,Pleasure Craft
912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14760,NA,14760,227108720,Pleasure Craft
913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16560,NA,16560,227108720,Pleasure Craft
916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8640,NA,8640,227108720,Pleasure Craft
917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43920,NA,43920,227108720,Pleasure Craft
919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13320,NA,13320,227108720,Pleasure Craft
920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10080,NA,10080,227108720,Pleasure Craft
921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13680,NA,13680,227108720,Pleasure Craft
923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20880,NA,20880,227108720,Pleasure Craft
924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24480,NA,24480,227108720,Pleasure Craft
925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71940,NA,71940,227108720,Pleasure Craft
930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43980,NA,45420,227160750,Pleasure Craft
931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080,NA,2640,227160750,Pleasure Craft
933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23820,NA,23820,227160750,Pleasure Craft
936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17760,NA,17760,227160750,Pleasure Craft
937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16380,NA,16380,227160750,Pleasure Craft
941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17040,NA,17040,227160750,Pleasure Craft
942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27660,NA,27660,227160750,Pleasure Craft
943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,13500,227160750,Pleasure Craft
947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13140,NA,13140,227160750,Pleasure Craft
949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17400,NA,18600,227160750,Pleasure Craft
950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,1380,227205840,Pleasure Craft
953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10320,12240,227237270,Pleasure Craft
954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1680,227237270,Pleasure Craft
955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8220,9780,227237270,Pleasure Craft
956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,NA,2520,227700320,Pleasure Craft
957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34260,229081000,Bulk Carrier
958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29100,229334000,Bulk Carrier
959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35520,229335000,Bulk Carrier
960,NA,NA,58560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62520,229651000,Container Ship
961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29640,229815000,Bulk Carrier
963,NA,NA,NA,NA,NA,NA,NA,NA,49260,NA,NA,NA,NA,NA,53880,232977000,General Cargo
964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27540,NA,NA,NA,31200,233659000,Trawler
965,NA,NA,NA,NA,7560,NA,NA,NA,NA,NA,NA,NA,NA,NA,153480,233694000,General Cargo
966,NA,NA,NA,NA,327300,NA,NA,NA,NA,NA,NA,NA,NA,NA,327300,233694000,General Cargo
967,NA,NA,NA,NA,84480,NA,NA,NA,NA,NA,NA,NA,NA,NA,84480,233694000,General Cargo
968,NA,NA,NA,NA,1624680,NA,NA,NA,NA,NA,NA,NA,NA,NA,1624680,233694000,General Cargo
969,NA,NA,NA,NA,97200,NA,NA,NA,NA,NA,NA,NA,NA,NA,97200,233694000,General Cargo
971,NA,NA,NA,NA,10080,NA,NA,NA,NA,NA,NA,NA,NA,NA,10080,233694000,General Cargo
973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23580,NA,23580,235009907,Pleasure Craft
974,NA,84600,NA,NA,125160,NA,NA,NA,NA,NA,NA,NA,NA,NA,213840,235056099,Tug
975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114720,235060252,Tanker
976,NA,NA,NA,NA,NA,NA,NA,NA,13260,NA,NA,NA,NA,NA,18420,235067944,General Cargo
977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28620,235069271,General Cargo
978,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26220,235070715,General Cargo
979,NA,NA,NA,NA,NA,NA,NA,NA,13140,NA,NA,NA,NA,NA,19500,235073372,General Cargo
981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186120,235077805,General Cargo
982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8040,NA,8040,235078897,Pleasure Craft
984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4260,NA,5340,235078897,Pleasure Craft
985,NA,NA,NA,NA,NA,NA,NA,11520,NA,NA,NA,NA,NA,NA,97440,235080632,General Cargo
986,NA,NA,NA,NA,NA,NA,NA,17880,NA,NA,NA,NA,NA,NA,22800,235080999,General Cargo
987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60240,235084806,Tug
988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25320,235100377,Bulk Carrier
989,NA,NA,NA,NA,26160,NA,NA,NA,NA,NA,NA,NA,NA,NA,26160,235465000,Tug/Supply Vessel
990,NA,NA,NA,NA,397020,NA,NA,NA,NA,NA,NA,NA,NA,NA,397020,235465000,Tug/Supply Vessel
991,NA,NA,NA,NA,546360,NA,NA,NA,NA,NA,NA,NA,NA,NA,895440,235465000,Tug/Supply Vessel
992,NA,NA,NA,NA,67800,NA,NA,NA,NA,NA,NA,NA,NA,NA,68940,235631000,Offshore Supply Ship
993,NA,NA,NA,NA,117420,NA,NA,NA,NA,NA,NA,NA,NA,NA,118320,235631000,Offshore Supply Ship
994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54240,NA,NA,NA,58440,236111768,Tanker
995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54120,236111913,Bulk Carrier
996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440,236111913,Bulk Carrier
997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,236502000,Tanker
998,NA,NA,NA,NA,NA,NA,NA,196560,NA,NA,NA,NA,NA,NA,447360,236502000,Tanker
999,NA,NA,24660,NA,NA,NA,NA,310080,NA,NA,NA,NA,NA,NA,1264200,236502000,Tanker
1000,NA,NA,NA,NA,24900,NA,NA,52380,NA,NA,NA,NA,NA,NA,227220,236502000,Tanker
1001,NA,NA,NA,NA,NA,NA,NA,42e3,NA,NA,NA,NA,NA,NA,46200,236502000,Tanker
1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120360,236518000,Tanker
1003,NA,NA,12360,NA,NA,NA,NA,19380,NA,NA,NA,NA,NA,NA,369240,236518000,Tanker
1004,NA,NA,NA,NA,NA,NA,NA,158760,NA,NA,NA,NA,NA,NA,1205280,236518000,Tanker
1005,NA,NA,17700,19380,NA,NA,NA,75240,NA,NA,NA,NA,NA,NA,414540,236518000,Tanker
1006,NA,NA,NA,1200,NA,NA,NA,14400,NA,NA,NA,NA,NA,NA,100800,236518000,Tanker
1007,NA,NA,NA,NA,22260,NA,NA,NA,NA,NA,NA,NA,NA,NA,209820,236579000,Offshore Supply Ship
1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,236579000,Offshore Supply Ship
1011,NA,NA,220080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222780,240028000,Container Ship
1014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29460,240564000,Bulk Carrier
1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60600,241284000,Bulk Carrier
1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43200,242135100,Fishing Vessel
1022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168e3,242135100,Fishing Vessel
1023,NA,NA,NA,NA,4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,418080,242135100,Fishing Vessel
1024,NA,NA,NA,NA,1080,NA,NA,NA,NA,96360,NA,NA,NA,NA,547800,242135100,Fishing Vessel
1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628560,NA,NA,631320,242141100,Trawler
1026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1264020,NA,NA,1264020,242141100,Trawler
1027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33900,NA,NA,33900,242141100,Trawler
1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119100,NA,NA,119100,242141100,Trawler
1029,NA,NA,NA,NA,9360,NA,NA,NA,NA,NA,NA,NA,NA,NA,12060,242173100,Fishing Vessel
1030,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,798060,242173100,Fishing Vessel
1031,NA,NA,NA,NA,161520,NA,NA,NA,NA,NA,NA,NA,NA,NA,162240,242173100,Fishing Vessel
1032,NA,NA,NA,NA,78360,NA,NA,NA,NA,NA,NA,NA,NA,NA,323880,242173100,Fishing Vessel
1033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118560,242173100,Fishing Vessel
1034,120,39960,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44400,242576000,Tanker
1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239460,244002000,General Cargo
1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10380,NA,12120,244020664,Pleasure Craft
1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,NA,2580,244060681,Pleasure Craft
1039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30120,NA,33240,244615063,Pleasure Craft
1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140,NA,2220,244700973,Pleasure Craft
1042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8100,NA,9120,244780472,Pleasure Craft
1043,NA,75060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80700,244810083,Tug
1044,NA,NA,NA,NA,NA,NA,NA,35400,NA,NA,NA,NA,NA,NA,38340,244819000,General Cargo
1045,NA,NA,NA,NA,NA,NA,NA,NA,26580,NA,NA,NA,NA,NA,32940,245021000,Heavy Load Carrier
1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69660,245107000,Container Ship
1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92580,245107000,Container Ship
1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,4380,NA,NA,NA,NA,8760,245811000,Factory Trawler
1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25680,245949000,General Cargo
1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117480,NA,NA,NA,122820,246100000,General Cargo
