TRIP_ID	MMSI	VESSEL_TYPE	duration_total	duration_segment	speed_avg	speed_max	speed_upperquartile	distance_total	distance_segment	time_diff_avg	hour_min	hour_max	day_min	day_max	area_1	area_2	area_3	area_4	area_5	area_6	area_7	area_8	area_9	area_10	area_11	area_12	area_13	area_14	area_15	area_1_p	area_2_p	area_3_p	area_4_p	area_5_p	area_6_p	area_7_p	area_8_p	area_9_p	area_10_p	area_11_p	area_12_p	area_13_p	area_14_p	area_15_p	Night	Morning	Afternoon	Evening	In-week	Weekend	speed_avg_out
1506.0	538004767	Bulk Carrier	43860.0	555.1898734177215	1.8553519682127546	7.316189837873938	5.664876523584741	27306.317403701225	345.6495873886231	555.1898734177215	0	23	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	660.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015047879616963064	0.341	0.415	0.0	0.244	1.0	0.0	1.8845459445535864
1507.0	538005033	Tanker	75060.0	419.3296089385475	0.9815396367045597	7.9212008668782286	3.2426963550166685	32013.71064173109	178.84754548453122	419.3296089385475	0	23	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.7	1.0	0.0	0.9815396367045597
1510.0	538005439	Tanker	29400.0	402.73972602739724	1.8662107087679063	5.910350504627227	4.70131689864611	24312.799134775694	333.0520429421328	402.73972602739724	4	12	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.614	0.159	0.227	0.0	1.0	0.0	1.8662107087679063
1511.0	563264000	Bulk Carrier	22560.0	275.1219512195122	2.685204431256702	8.891054982967102	5.129859395264133	38225.64737724276	466.1664314297898	275.1219512195122	6	12	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.649	0.351	0.0	1.0	0.0	2.685204431256702
1512.0	563642000	Bulk Carrier	6900.0	172.5	1.9878208215636204	7.136023224468883	5.308070353465974	13908.419534221917	347.7104883555479	172.5	18	19	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.9878208215636204
1513.0	564081000	Tanker	108300.0	802.2222222222222	1.4648489769350248	7.2269037449854405	5.622544778015053	37913.72693508627	280.8424217413798	802.2222222222222	0	23	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100920.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9318559556786704	0.278	0.37	0.352	0.0	1.0	0.0	4.307376939896735
1514.0	564163000	Bulk Carrier	44700.0	346.51162790697674	1.4149150559004342	6.663942094676489	4.162295261599165	32495.866668046627	251.90594316315213	346.51162790697674	0	23	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6241610738255033	0.392	0.0	0.608	0.0	1.0	0.0	1.8107525822398778
1517.0	565592000	Tanker	65220.0	627.1153846153846	1.8890072551593267	7.1784936807746265	5.636093895116363	34856.447507303354	335.15814910868613	627.1153846153846	0	23	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59880.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9181232750689973	0.0	0.241	0.333	0.426	1.0	0.0	4.1992774078935655
1518.0	566328000	Tanker	112740.0	997.6991150442478	0.5924093205625567	6.471957440838307	2.99308113733542	13526.558955055843	119.70406154916675	997.6991150442478	0	23	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.5924093205625567
1520.0	566453000	Tanker	28440.0	400.5633802816901	2.0798535849501563	6.862160700943605	5.882690571811195	27729.513323725372	390.55652568627283	400.5633802816901	12	20	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.4	1.0	0.0	2.0798535849501563
