imo,MMSI,ais.type,call.Sign,flag,gross.tonnage,deadweight,length,width,image.src,ship.type,name,vessel.type
9370135,370947000,Cargo - Hazard D (Recognizable),3FZH4,Panama [PA],20236,32221,177,13,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=622730&size=,General Cargo,CLIPPER KASASHIO,General Cargo
9167863,247296200,Cargo,ICQS,Italy [IT],19712,31962,171,6,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=736316&size=,Bulk Carrier,APUANA D,Bulk Carrier
8605947,740358000,Fishing,ZDLT1,UK [UK],1321,1086,70,11,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1692677&size=,Trawler,CASTELO,Trawler
NA,413473190,Cargo,0000000,China [CN],NA,NA,78,16,http://www.marinetraffic.com/img/no_photo.png,Cargo,SUI GANG 3502,Cargo
9157131,351737000,Cargo - Hazard A (Major),3EVT6,Panama [PA],11153,16727,73,16,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=233898&size=,Container Ship,CS SETUBAL,Container Ship
NA,227205840,Sailing Vessel,FAB4613,France [FR],NA,NA,13,4,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2106891&size=,Sailing Vessel,RANA,Pleasure Craft
9593256,246130000,Tug,PBQL,Netherlands [NL],406,239,37,9,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=372025&size=,Offshore Supply Ship,M.P.R.2,Offshore Supply Ship
9376787,246671000,Cargo,PBYF,Netherlands [NL],4102,5499,106,84,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=363314&size=,General Cargo,BELTDIEP,General Cargo
9588407,477899900,Cargo,VRIS7,Hong Kong [HK],22137,33859,179,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=555513&size=,Bulk Carrier,SAM PHOENIX,Bulk Carrier
9508720,248333000,Tanker,9HA2323,Malta [MT],12649,19988,149,8,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=609455&size=,Oil/Chemical Tanker,ECE NUR K,Tanker
9474266,477353100,Cargo,VRIT6,Hong Kong [HK],23432,33660,180,30,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=741582&size=,Bulk Carrier,CMB LILIANE,Bulk Carrier
9461362,477802500,Cargo,VRIG6,Hong Kong [HK],43012,82205,228,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2070448&size=,Bulk Carrier,YM ENDEAVOUR,Bulk Carrier
9039145,NA,Cargo,DSOW4,Korea [KR],76925,151628,289,45,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=727003&size=,Bulk Carrier,EMPRESS,Bulk Carrier
9468528,235084915,Tanker,2EGO8,United Kingdom [GB],5539,6065,106,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=478032&size=,Tanker,STOLT FUJI,Tanker
NA,224001900,Sailing Vessel,EA8898,Spain [ES],NA,NA,24,7,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=169301&size=,Sailing Vessel,ATYLA,Pleasure Craft
9226932,353775000,Cargo,HODU,Panama [PA],73819,85820,303,94,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=117992&size=,Container Ship,MSC BARBARA,Container Ship
9427380,236634000,Cargo,ZDNS9,Gibraltar [GI],15861,25951,157,2,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=329837&size=,Bulk Carrier,HELEN BOLTEN,Bulk Carrier
9244685,351998000,Cargo,H9NN,Panama [PA],40360,49997,199,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1104147&size=,General Cargo,CRIMSON SATURN,General Cargo
NA,242132100,Other,CNNM,Morocco [MA],NA,NA,41,10,http://www.marinetraffic.com/img/no_photo.png,Other,TAZIA 2,Other
NA,431701650,Fishing,JPRT,Japan [JP],NA,NA,50,8,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=843581&size=,Fishing,CHIYOMARU NO.18,Fishing Vessel
9514315,566380000,Cargo,9V9800,Singapore [SG],31756,56141,189,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=779399&size=,Bulk Carrier,ORIENT LOTUS,Bulk Carrier
